"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Virginia","2019","Age","13-17 Years","75.2","67.4 to 81.6","363"
"HPV","≥2 Doses, Females","States/Local Areas","Virginia","2013","Age","13-17 Years","41.4","29.8 to 54.0","155"
"HPV","≥2 Doses, Females","States/Local Areas","Virginia","2009","Age","13-17 Years","30.4","22.9 to 39.1","175"
"HPV","≥2 Doses, Females","States/Local Areas","Virginia","2010","Age","13-17 Years","51.1","41.4 to 60.7","162"
"HPV","≥2 Doses, Females","States/Local Areas","Virginia","2012","Age","13-17 Years","38.0","28.4 to 48.7","155"
"HPV","≥2 Doses, Females","States/Local Areas","Virginia","2011","Age","13-17 Years","36.5","27.9 to 46.0","176"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Virginia","2017","Age","13-17 Years","75.6","68.4 to 81.6","413"
"≥1 Dose MenACWY","","States/Local Areas","Virginia","2017","Age","13-15 Years","79.8","69.9 to 87.0","259"
"≥1 Dose MenACWY","","States/Local Areas","Virginia","2020","Age","13-15 Years","80.0","72.1 to 86.0","418"
"HPV","≥2 Doses, Females","States/Local Areas","Virginia","2008","Age","13-17 Years","27.4","20.0 to 36.2","151"
"≥1 Dose MenACWY","","States/Local Areas","Virginia","2018","Age","13-15 Years","79.7","68.9 to 87.4","210"
"≥1 Dose MenACWY","","States/Local Areas","Virginia","2019","Age","13-15 Years","85.0","75.8 to 91.1","247"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Virginia","2016","Age","13-17 Years","53.6","46.0 to 61.0","451"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Virginia","2016","Age","13-17 Years","88.8","82.6 to 92.9","451"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Virginia","2017","Age","13-17 Years","93.3","88.2 to 96.3","413"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Virginia","2013","Age","13-17 Years","85.7","78.5 to 90.8","302"
"HPV","Up-to-Date, Females","States/Local Areas","Virginia","2021","Age","13-17 Years","73.5","63.4 to 81.6","259"
"HPV","Up-to-Date, Females","States/Local Areas","Virginia","2020","Age","13-17 Years","64.8","56.0 to 72.8","353"
"HPV","Up-to-Date, Males","States/Local Areas","Virginia","2018","Age","13-15 Years","37.6","22.3 to 55.8","100"
"HPV","Up-to-Date, Females","States/Local Areas","Virginia","2022","Age","13-17 Years","64.4","56.7 to 71.4","281"
"HPV","Up-to-Date, Females","States/Local Areas","Virginia","2018","Age","13-17 Years","59.1","45.6 to 71.4","167"
"HPV","Up-to-Date, Females","States/Local Areas","Virginia","2019","Age","13-17 Years","52.5","40.7 to 64.0","175"
"HPV","Up-to-Date, Females","States/Local Areas","Virginia","2017","Age","13-17 Years","68.0","56.5 to 77.6","181"
"HPV","Up-to-Date, Females","States/Local Areas","Virginia","2016","Age","13-17 Years","41.1","30.8 to 52.3","209"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Virginia","2021","Age","13-15 Years","63.1","53.8 to 71.5","345"
"Varicella","History of disease","States/Local Areas","Virginia","2018","Age","13-17 Years","11.2","6.4 to 19.0","327"
"Varicella","History of disease","States/Local Areas","Virginia","2017","Age","13-17 Years","10.9","6.7 to 17.4","413"
"Varicella","History of disease","States/Local Areas","Virginia","2009","Age","13-17 Years","54.1","47.8 to 60.3","358"
"Varicella","History of disease","States/Local Areas","Virginia","2014","Age","13-17 Years","13.3","9.4 to 18.5","350"
"Varicella","History of disease","States/Local Areas","Virginia","2013","Age","13-17 Years","18.2","12.3 to 26.1","302"
"Varicella","History of disease","States/Local Areas","Virginia","2010","Age","13-17 Years","36.0","29.7 to 42.8","332"
"Varicella","History of disease","States/Local Areas","Virginia","2012","Age","13-17 Years","28.5","22.2 to 35.9","334"
"Varicella","History of disease","States/Local Areas","Virginia","2011","Age","13-17 Years","35.6","29.7 to 42.1","417"
"Varicella","History of disease","States/Local Areas","Virginia","2016","Age","13-17 Years","13.2","8.8 to 19.3","451"
"Varicella","History of disease","States/Local Areas","Virginia","2015","Age","13-17 Years","19.6","14.0 to 26.8","385"
"HPV","Up-to-Date, Males","States/Local Areas","Virginia","2019","Age","13-15 Years","55.4","40.7 to 69.3","118"
"Varicella","History of disease","States/Local Areas","Virginia","2020","Age","13-17 Years","8.6","5.6 to 13.1","677"
"Varicella","History of disease","States/Local Areas","Virginia","2019","Age","13-17 Years","12.6","7.9 to 19.6","363"
"Varicella","History of disease","States/Local Areas","Virginia","2022","Age","13-17 Years","7.0","4.7 to 10.2","595"
"HPV","Up-to-Date, Males","States/Local Areas","Arizona","2024","Age","13-17 Years","64.0","53.4 to 73.3","114"
"HPV","Up-to-Date, Females","States/Local Areas","Arizona","2024","Age","13-17 Years","70.9","58.4 to 80.9","92"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Arizona","2024","Age","13-17 Years","67.4","59.4 to 74.4","206"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Arizona","2024","Age","13-17 Years","88.7","82.3 to 93.0","206"
"HPV","Up-to-Date, Males","States/Local Areas","Arizona","2024","Age","13-15 Years","65.8","51.6 to 77.7","65"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Arizona","2024","Age","13-15 Years","69.4","59.1 to 78.0","124"
"HPV","Up-to-Date, Females","States/Local Areas","Arizona","2024","Age","13-15 Years","72.5","57.3 to 83.8","59"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Arizona","2024","Age","13-17 Years","93.0","87.8 to 96.1","206"
"Varicella","History of disease","States/Local Areas","Arizona","2024","Age","13-17 Years","NA",,
"HPV","≥1 Dose, Males","States/Local Areas","Arizona","2024","Age","13-17 Years","77.3","67.3 to 85.0","114"
"≥2 Doses MMR","","States/Local Areas","Arizona","2024","Age","13-17 Years","93.0","87.9 to 96.0","206"
"≥3 Doses HepB","","States/Local Areas","Arizona","2024","Age","13-17 Years","91.3","85.8 to 94.8","206"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Arizona","2024","Age","13-17 Years","96.7","92.0 to 98.6","194"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Arizona","2024","Age","13-17 Years","87.9","81.1 to 92.4","194"
"≥2 Doses Hep A","","States/Local Areas","Arizona","2024","Age","13-17 Years","88.7","82.4 to 92.9","206"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Arizona","2024","Age","13-15 Years","94.0","86.8 to 97.4","124"
"≥1 Dose MenACWY","","States/Local Areas","Arizona","2024","Age","13-15 Years","92.3","84.6 to 96.3","124"
"HPV","≥1 Dose, Females","States/Local Areas","Arizona","2024","Age","13-17 Years","85.3","74.5 to 92.0","92"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Arizona","2024","Age","13-15 Years","93.5","87.4 to 96.8","120"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Arizona","2024","Age","13-17 Years","91.8","86.3 to 95.2","206"
"≥1 Dose MenACWY","","States/Local Areas","Arizona","2024","Age","13-17 Years","92.9","87.5 to 96.1","206"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Arizona","2024","Age","13-17 Years","81.2","74.2 to 86.6","206"
"HPV","Up-to-Date, Females","States/Local Areas","Washington","2023","Age","13-17 Years","63.2","51.9 to 73.2","116"
"HPV","≥1 Dose, Females","States/Local Areas","Washington","2023","Age","13-17 Years","79.5","68.9 to 87.1","116"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Washington","2023","Age","13-15 Years","92.8","86.2 to 96.4","136"
"HPV","Up-to-Date, Females","States/Local Areas","Washington","2023","Age","13-15 Years","58.3","43.6 to 71.6","70"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Washington","2023","Age","13-15 Years","58.6","48.4 to 68.1","149"
"HPV","Up-to-Date, Males","States/Local Areas","Washington","2023","Age","13-15 Years","58.9","44.7 to 71.7","79"
"≥1 Dose MenACWY","","States/Local Areas","Washington","2023","Age","13-15 Years","83.2","74.6 to 89.3","149"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Washington","2023","Age","13-15 Years","89.3","82.7 to 93.6","149"
"≥2 Doses Hep A","","States/Local Areas","Washington","2023","Age","13-17 Years","87.9","82.0 to 92.0","236"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Washington","2023","Age","13-17 Years","90.6","85.2 to 94.2","236"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Washington","2023","Age","13-17 Years","89.7","83.7 to 93.6","216"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Washington","2023","Age","13-17 Years","93.0","87.4 to 96.2","216"
"≥3 Doses HepB","","States/Local Areas","Washington","2023","Age","13-17 Years","90.8","85.3 to 94.4","236"
"Varicella","History of disease","States/Local Areas","Washington","2023","Age","13-17 Years","9.4","5.5 to 15.5","236"
"HPV","Up-to-Date, Males","States/Local Areas","Washington","2023","Age","13-17 Years","67.0","55.7 to 76.7","120"
"≥2 Doses MMR","","States/Local Areas","Washington","2023","Age","13-17 Years","92.9","87.8 to 96.0","236"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Washington","2023","Age","13-17 Years","81.8","75.1 to 87.0","236"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Washington","2023","Age","13-17 Years","65.2","57.3 to 72.3","236"
"HPV","≥1 Dose, Males","States/Local Areas","Washington","2023","Age","13-17 Years","84.0","74.8 to 90.3","120"
"≥1 Dose MenACWY","","States/Local Areas","Washington","2023","Age","13-17 Years","86.3","80.0 to 90.9","236"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Washington","2023","Age","13-17 Years","90.4","85.1 to 94.0","236"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Washington","2023","Age","13-17 Years","90.4","85.1 to 94.0","236"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Washington","2024","Age","13-17 Years","94.0","89.4 to 96.7","231"
"HPV","Up-to-Date, Males","States/Local Areas","Washington","2024","Age","13-17 Years","70.5","60.4 to 79.0","114"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Washington","2024","Age","13-17 Years","92.2","86.9 to 95.5","231"
"HPV","Up-to-Date, Females","States/Local Areas","Washington","2024","Age","13-17 Years","73.2","63.9 to 80.9","117"
"HPV","Up-to-Date, Males","States/Local Areas","Washington","2024","Age","13-15 Years","63.5","50.3 to 75.0","71"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Washington","2024","Age","13-17 Years","71.8","65.0 to 77.8","231"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Washington","2024","Age","13-17 Years","83.5","77.4 to 88.2","231"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Washington","2024","Age","13-17 Years","92.2","86.9 to 95.5","231"
"≥1 Dose MenACWY","","States/Local Areas","Washington","2024","Age","13-17 Years","88.8","83.3 to 92.6","231"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Washington","2024","Age","13-15 Years","93.2","85.7 to 96.9","131"
"HPV","≥1 Dose, Females","States/Local Areas","Washington","2024","Age","13-17 Years","86.8","79.1 to 92.0","117"
"≥1 Dose MenACWY","","States/Local Areas","Washington","2024","Age","13-15 Years","85.7","77.4 to 91.3","138"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Washington","2024","Age","13-15 Years","91.3","83.0 to 95.8","138"
"≥2 Doses Hep A","","States/Local Areas","Washington","2024","Age","13-17 Years","89.7","84.4 to 93.3","231"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Washington","2024","Age","13-17 Years","93.7","88.9 to 96.5","219"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Washington","2024","Age","13-17 Years","96.7","93.2 to 98.4","219"
"≥3 Doses HepB","","States/Local Areas","Washington","2024","Age","13-17 Years","93.0","88.3 to 95.9","231"
"≥2 Doses MMR","","States/Local Areas","Washington","2024","Age","13-17 Years","94.4","90.1 to 96.9","231"
"HPV","≥1 Dose, Males","States/Local Areas","Washington","2024","Age","13-17 Years","80.4","70.5 to 87.5","114"
"Varicella","History of disease","States/Local Areas","Washington","2024","Age","13-17 Years","NA",,
"HPV","Up-to-Date, Females","States/Local Areas","Washington","2024","Age","13-15 Years","72.2","59.5 to 82.2","67"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Washington","2024","Age","13-15 Years","67.4","58.1 to 75.5","138"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2024","Age","13-17 Years","92.2","87.8 to 95.1","251"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2023","Age","13-17 Years","78.2","70.6 to 84.3","230"
"HPV","Up-to-Date, Females","States/Local Areas","Wisconsin","2023","Age","13-17 Years","74.4","66.4 to 81.0","196"
"HPV","Up-to-Date, Females","States/Local Areas","Wisconsin","2023","Age","13-15 Years","69.6","57.9 to 79.2","111"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2023","Age","13-15 Years","63.6","55.6 to 70.9","249"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2023","Age","13-15 Years","92.5","86.5 to 96.0","239"
"HPV","Up-to-Date, Males","States/Local Areas","Wisconsin","2023","Age","13-15 Years","58.3","47.4 to 68.4","138"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2023","Age","13-15 Years","88.9","82.9 to 93.0","249"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2023","Age","13-15 Years","91.2","86.1 to 94.5","249"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2023","Age","13-17 Years","93.9","90.2 to 96.3","426"
"≥2 Doses Hep A","","States/Local Areas","Wisconsin","2023","Age","13-17 Years","90.8","86.6 to 93.8","426"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2023","Age","13-17 Years","93.7","89.8 to 96.1","406"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2023","Age","13-17 Years","96.8","93.8 to 98.4","406"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2023","Age","13-17 Years","94.9","91.8 to 96.8","426"
"Varicella","History of disease","States/Local Areas","Wisconsin","2023","Age","13-17 Years","3.9","2.4 to 6.4","426"
"HPV","Up-to-Date, Males","States/Local Areas","Wisconsin","2023","Age","13-17 Years","65.7","57.4 to 73.2","230"
"≥2 Doses MMR","","States/Local Areas","Wisconsin","2023","Age","13-17 Years","96.2","93.3 to 97.9","426"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2023","Age","13-17 Years","69.9","64.2 to 75.1","426"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2023","Age","13-17 Years","86.2","79.9 to 90.8","196"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2023","Age","13-17 Years","82.1","77.2 to 86.1","426"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2023","Age","13-17 Years","89.8","85.6 to 92.8","426"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2023","Age","13-17 Years","92.6","89.2 to 95.1","426"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2023","Age","13-17 Years","91.5","87.9 to 94.1","426"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2024","Age","13-17 Years","67.2","60.4 to 73.3","251"
"≥2 Doses Hep A","","States/Local Areas","Wisconsin","2024","Age","13-17 Years","87.5","82.0 to 91.6","251"
"HPV","Up-to-Date, Females","States/Local Areas","Wisconsin","2024","Age","13-17 Years","64.3","53.5 to 73.8","106"
"HPV","Up-to-Date, Males","States/Local Areas","Wisconsin","2024","Age","13-17 Years","69.9","61.4 to 77.2","145"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Any Medicaid","64.4","59.1 to 69.4","454"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Private Insurance Only","63.1","59.5 to 66.6","986"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Other","37.5","24.0 to 53.3","55"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Private Insurance Only","92.7","90.6 to 94.4","986"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Any Medicaid","88.3","84.2 to 91.4","454"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Poverty","Below Poverty Level","64.2","55.5 to 72.0","168"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Poverty","Living At or Above Poverty Level","63.1","57.9 to 64.2","1306"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Poverty","Below Poverty Level","92.0","85.3 to 95.8","168"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Any Medicaid","90.5","87.0 to 93.2","454"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Poverty","Living At or Above Poverty Level","90.2","88.1 to 92.0","1306"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Private Insurance Only","91.2","88.9 to 93.0","986"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Any Medicaid","79.7","75.1 to 83.7","454"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Private Insurance Only","76.9","73.7 to 79.9","986"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Other","51.3","35.8 to 66.5","55"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Other","68.6","51.8 to 81.7","55"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Overall","Overall","76.6","74.0 to 79.0","1520"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Overall","Overall","89.7","87.8 to 91.4","1520"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Overall","Overall","62.1","59.1 to 64.9","1520"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a Non-MSA","91.0","86.2 to 94.3","331"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a MSA Principal City","82.2","78.2 to 85.6","581"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a MSA Non-Principal City","74.5","70.1 to 78.4","608"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a Non-MSA","84.6","79.5 to 88.7","331"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a MSA Principal City","67.2","62.5 to 71.6","581"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a MSA Non-Principal City","59.8","55.2 to 64.3","608"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a MSA Principal City","92.5","89.6 to 94.7","581"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a Non-MSA","69.7","63.6 to 75.2","331"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a MSA Non-Principal City","89.4","86.1 to 92.0","608"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a MSA Principal City","91.9","89.0 to 94.1","581"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a Non-MSA","56.4","49.8 to 62.7","331"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Urbanicity","Living In a MSA Non-Principal City","89.2","85.8 to 91.8","608"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","93.7","87.2 to 97.0","139"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","85.6","78.3 to 90.7","139"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Hispanic","85.5","77.8 to 90.8","165"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Black, Non-Hispanic","63.0","50.9 to 73.7","87"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","White, Non-Hispanic","60.9","57.5 to 64.2","1129"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Hispanic","62.2","52.9 to 70.6","165"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","White, Non-Hispanic","88.7","86.3 to 90.7","1129"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","69.6","60.1 to 77.7","139"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Black, Non-Hispanic","90.9","80.6 to 96.0","87"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","White, Non-Hispanic","90.5","88.2 to 92.4","1129"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Hispanic","91.5","85.3 to 95.3","165"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Black, Non-Hispanic","87.1","77.0 to 93.2","87"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Hispanic","91.6","85.5 to 95.2","165"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","93.0","86.5 to 96.5","139"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","White, Non-Hispanic","73.0","69.8 to 76.0","1129"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Race and Ethnicity","Black, Non-Hispanic","84.2","74.0 to 90.9","87"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Poverty","Below Poverty Level","84.8","78.2 to 89.7","168"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Poverty","Living At or Above Poverty Level","89.3","87.2 to 91.2","1306"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018-2022","Poverty","Below Poverty Level","91.3","85.3 to 95.0","168"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018-2022","Poverty","Living At or Above Poverty Level","75.0","72.1 to 77.7","1306"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Insurance Coverage","Other","77.8","60.4 to 88.9","55"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2018-2022","Overall","Overall","90.6","88.7 to 92.2","1520"
"HPV","≥3 Doses, Females","States/Local Areas","Wisconsin","2011","Age","13-15 Years","38.4","26.0 to 52.5","119"
"HPV","≥3 Doses, Females","States/Local Areas","Wisconsin","2010","Age","13-15 Years","39.0","27.4 to 52.0","76"
"≥2 Doses MMR","","States/Local Areas","Wisconsin","2020","Age","13-17 Years","94.9","91.1 to 97.1","277"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2017","Age","13-17 Years","83.8","78.4 to 88.2","324"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2021","Age","13-17 Years","93.5","89.5 to 96.1","306"
"≥2 Doses MMR","","States/Local Areas","Wisconsin","2021","Age","13-17 Years","98.6","96.3 to 99.5","306"
"≥2 Doses MMR","","States/Local Areas","Wisconsin","2022","Age","13-17 Years","93.3","88.1 to 96.4","274"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018","Age","13-17 Years","85.8","80.9 to 89.5","332"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2019","Age","13-17 Years","90.6","86.2 to 93.8","331"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2020","Age","13-17 Years","90.2","85.4 to 93.6","277"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2022","Age","13-17 Years","90.2","85.0 to 93.7","274"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2020","Age","13-17 Years","91.6","86.8 to 94.7","277"
"≥2 Doses MMR","","States/Local Areas","Wisconsin","2017","Age","13-17 Years","96.2","93.2 to 97.9","324"
"≥2 Doses MMR","","States/Local Areas","Wisconsin","2019","Age","13-17 Years","96.9","94.1 to 98.4","331"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Wisconsin","2012","Age","13-17 Years","21.7","16.2 to 28.5","307"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Wisconsin","2013","Age","13-17 Years","25.0","19.7 to 31.1","330"
"≥2 Doses MMR","","States/Local Areas","Wisconsin","2018","Age","13-17 Years","93.9","89.8 to 96.4","332"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2019","Age","13-17 Years","90.7","86.1 to 93.9","331"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Wisconsin","2014","Age","13-17 Years","32.0","25.9 to 38.8","340"
"HPV","≥3 Doses, Males and Females","States/Local Areas","Wisconsin","2015","Age","13-17 Years","40.2","34.5 to 46.3","365"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2021","Age","13-17 Years","91.7","87.3 to 94.6","306"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2022","Age","13-17 Years","90.3","85.0 to 93.8","274"
"HPV","≥3 Doses, Females","States/Local Areas","Wisconsin","2009","Age","13-15 Years","23.2","14.8 to 34.4","102"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2011","Age","13-15 Years","93.0","86.8 to 96.4","229"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2009","Age","13-15 Years","75.3","67.0 to 82.0","194"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2010","Age","13-15 Years","85.4","78.6 to 90.3","166"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2022","Age","13-17 Years","92.8","87.7 to 95.9","274"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2008","Age","13-15 Years","61.8","52.7 to 70.2","147"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2016","Age","13-15 Years","89.9","83.4 to 94.1","199"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2012","Age","13-15 Years","88.2","80.1 to 93.3","178"
"HPV","≥2 Doses, Males","States/Local Areas","Wisconsin","2014","Age","13-17 Years","39.3","30.3 to 49.0","175"
"HPV","≥2 Doses, Males","States/Local Areas","Wisconsin","2013","Age","13-17 Years","20.9","14.3 to 29.6","170"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2013","Age","13-15 Years","87.4","80.1 to 92.3","212"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2015","Age","13-15 Years","88.5","82.6 to 92.7","232"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Wisconsin","2014","Age","13-15 Years","93.7","87.2 to 97.0","216"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2021","Age","13-15 Years","90.1","83.5 to 94.3","175"
